Date,Open,High,Low,Close,Volume
07/09/1984,0.100763,0.101999,0.0995464,0.100763,97676041.84
10/09/1984,0.100763,0.101071,0.0983401,0.100165,75812543.28
11/09/1984,,,0.101071,0.101999,178770477
12/09/1984,0.101999,0.102597,0.0989283,0.0989283,156171258.2
13/09/1984,0.104432,,0.104432,,243230959.4
14/09/1984,0.10473,0.108369,0.10473,0.105937,289611904
17/09/1984,0.108689,0.110204,0.108689,0.108689,226123797.6
18/09/1984,0.108689,0.109586,0.10473,0.10473,114152469.6
19/09/1984,0.10473,0.105937,0.102597,0.102597,124690010.7
20/09/1984,0.102896,0.103814,0.102896,0.102896,77625794.27
21/09/1984,0.102896,0.105937,0.100763,0.101999,117121837.3
24/09/1984,0.101999,0.102597,0.101071,0.101071,92683210.95
25/09/1984,0.100763,0.100763,0.0989283,0.0989283,195667414.6
26/09/1984,0.0989283,0.103494,0.0977319,0.0977319,130182168
27/09/1984,0.0977319,0.0983401,0.0977319,0.0977319,124269556.1
28/09/1984,0.0977319,0.0977319,0.093465,0.0952893,273818705.9
01/10/1984,0.0950002,0.0950002,0.0931559,0.0931559,114704290.7
02/10/1984,0.093764,0.0971138,0.093764,0.093764,138722515.6
03/10/1984,0.0952893,0.0968047,0.0952893,0.0952893,141271560.1
04/10/1984,0.0964857,0.0971138,0.0964857,0.0964857,147210419.8
05/10/1984,0.0964857,0.0964857,0.093764,0.0943821,114467813.6
08/10/1984,0.0943821,0.0950002,0.0943821,0.0943821,55105377.06
09/10/1984,0.0943821,0.0950002,0.093465,0.093465,146947619.7
10/10/1984,0.093465,0.093465,0.0907133,0.0907133,428019119.8
11/10/1984,0.0907133,0.0931559,0.0901151,0.0901151,214403746.6
12/10/1984,0.0901151,0.0907133,0.0855291,0.0861472,311817004.3
15/10/1984,0.0910124,0.0919296,0.0910124,0.0910124,285381118.4
16/10/1984,0.0910124,0.0913314,0.0907133,0.0907133,138459808.8
17/10/1984,0.0943821,0.0950002,0.0943821,0.0943821,183763407.2
18/10/1984,0.0971138,0.0977319,0.0971138,0.0971138,289953520.8
19/10/1984,0.0971138,0.103814,0.0968047,0.0971138,382584179
22/10/1984,0.0971138,0.0986292,0.0964857,0.0964857,134623193.9
23/10/1984,0.0986292,0.0995464,0.0986292,0.0986292,218713393
24/10/1984,0.0995464,0.100763,0.0995464,0.0995464,195930198.7
25/10/1984,0.0995464,0.0995464,0.0959075,0.0959075,185550337.2
26/10/1984,0.0959075,0.0959075,0.0931559,0.093465,134728259.4
29/10/1984,0.093764,0.0943821,0.093764,0.093764,59414995.35
30/10/1984,0.0950002,0.0959075,0.0950002,0.0950002,87506381.53
31/10/1984,0.0950002,0.0959075,0.0943821,0.0943821,70662067
01/11/1984,0.0950002,0.0959075,0.0950002,0.0950002,55184180.7
02/11/1984,0.0950002,0.0952893,0.093764,0.0943821,32479842.2
05/11/1984,0.0943821,0.0964857,0.093764,0.093764,123612616.4
06/11/1984,0.0995464,0.100165,0.0995464,0.0995464,264332318.3
07/11/1984,0.0995464,0.100165,0.0977319,0.0977319,271637632.3
08/11/1984,0.0977319,0.0977319,0.093764,0.093764,103378387.3
09/11/1984,0.093764,0.0943821,0.0873834,0.0883006,345058934
12/11/1984,0.0913314,0.0919296,0.0913314,0.0913314,132862516.7
13/11/1984,0.0913314,0.093465,0.0892179,0.0892179,148603187.2
14/11/1984,0.0901151,0.0910124,0.0901151,0.0901151,122403749.3
15/11/1984,0.0901151,0.0910124,0.0901151,0.0901151,125057867.3
16/11/1984,0.0901151,0.0913314,0.0876925,0.0883006,194458631.7
19/11/1984,0.0883006,0.0889088,0.0831065,0.0831065,273319412.5
20/11/1984,0.0858382,0.0861472,0.0858382,0.0858382,308821252.4
